R,663,596,538,591,563,656,756,582,614,642,560,544
H,1242,1177,1213,1232,1265,1181,1299,1199,1196,1194,1200,1153
2B,221,210,216,216,240,205,229,172,195,214,211,181
3B,15,14,20,17,31,19,23,19,22,21,28,22
HR,183,163,94,140,90,167,174,183,141,158,93,102
RBI,627,575,509,562,545,630,718,559,589,613,532,516
SO,1205,1065,1044,1106,1024,1212,1083,1084,1127,1013,1044,1030
BB,540,449,447,479,349,570,556,397,539,505,496,417
SH,84,81,104,111,108,84,78,100,98,92,78,101
SF,31,26,30,26,29,29,38,30,35,29,33,33
SB,83,40,100,81,63,62,134,113,48,75,48,122
E,72,65,102,87,45,97,92,68,72,67,82,81
AVG,0.257,0.246,0.251,0.254,0.263,0.244,0.265,0.251,0.251,0.249,0.251,0.242
SLG,0.422,0.398,0.362,0.392,0.381,0.398,0.428,0.41,0.39,0.402,0.365,0.353
OBP,0.335,0.315,0.319,0.324,0.317,0.329,0.344,0.312,0.333,0.33,0.325,0.309
CG,3,6,5,10,3,3,3,3,3,4,1,5
WP,77,71,69,70,68,59,80,76,71,69,65,61
LP,64,69,68,70,73,82,62,62,68,70,73,75
SV,34,30,36,23,37,28,35,49,38,29,36,38
HP,137,133,174,119,142,133,117,162,179,151,159,134
H,1227,1201,1209,1198,1155,1365,1313,1114,1150,1245,1141,1233
HR,150,137,115,135,146,168,143,137,142,143,135,137
BB,446,518,444,513,452,473,509,550,459,485,409,486
K,1139,1172,1135,1068,1088,1068,875,1160,1084,1110,1046,1092
R,573,611,566,601,544,739,695,564,578,611,586,637
ER,536,557,496,524,525,675,620,515,533,555,529,578
ERA,3.77,3.93,3.46,3.68,3.72,4.78,4.35,3.63,3.74,3.9,3.76,4.05
BB/9,3.14,3.66,3.1,3.61,3.21,3.35,3.57,3.87,3.22,3.41,2.91,3.41
K/9,8.01,8.28,7.92,7.51,7.72,7.57,6.14,8.17,7.6,7.8,7.44,7.66
WHIP,1.31,1.35,1.28,1.34,1.27,1.45,1.42,1.3,1.25,1.35,1.22,1.34
